
2024/02/12 (15:28:21) | ===> btop++ v.1.3.0
2024/02/12 (15:28:21) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/13 (09:55:16) | ===> btop++ v.1.3.0
2024/02/13 (09:55:16) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/13 (09:55:50) | ===> btop++ v.1.3.0
2024/02/13 (09:55:50) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/13 (09:57:18) | ===> btop++ v.1.3.0
2024/02/13 (09:57:18) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/13 (09:57:54) | ===> btop++ v.1.3.0
2024/02/13 (09:57:54) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/13 (16:06:20) | ===> btop++ v.1.3.0
2024/02/13 (16:06:20) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/13 (23:06:35) | ===> btop++ v.1.3.0
2024/02/13 (23:06:35) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/14 (10:35:16) | ===> btop++ v.1.3.0
2024/02/14 (10:35:16) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/14 (12:19:23) | ===> btop++ v.1.3.0
2024/02/14 (12:19:23) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/14 (20:11:59) | ===> btop++ v.1.3.0
2024/02/14 (20:11:59) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/15 (11:10:13) | ===> btop++ v.1.3.0
2024/02/15 (11:10:13) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/15 (20:04:05) | ===> btop++ v.1.3.2
2024/02/15 (20:04:05) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/15 (20:05:05) | ===> btop++ v.1.3.2
2024/02/15 (20:05:05) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/15 (20:06:13) | ===> btop++ v.1.3.2
2024/02/15 (20:06:13) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/15 (20:06:16) | ===> btop++ v.1.3.2
